timeOpen,timeClose,timeHigh,timeLow,name,open,high,low,close,volume,marketCap,timestamp
2023-06-15T00:00:00.000Z,2023-06-15T23:59:59.999Z,2023-06-15T00:55:00.000Z,2023-06-15T11:28:00.000Z,2781,237.6096919376,240.1553292207,231.065806555,236.2806907263,502420772.23,36825242367.48,2023-06-15T23:59:59.999Z
2023-06-14T00:00:00.000Z,2023-06-14T23:59:59.999Z,2023-06-14T04:18:00.000Z,2023-06-14T21:01:00.000Z,2781,243.8905271358,251.6301556352,234.0425644322,237.5742668787,738634211.88,37026895487.58,2023-06-14T23:59:59.999Z
2023-06-13T00:00:00.000Z,2023-06-13T23:59:59.999Z,2023-06-13T12:42:00.000Z,2023-06-13T01:10:00.000Z,2781,231.0750429678,245.6421985444,229.3116948655,243.8905271358,864407068.49,38011354861.71,2023-06-13T23:59:59.999Z
2023-06-12T00:00:00.000Z,2023-06-12T23:59:59.999Z,2023-06-12T10:43:00.000Z,2023-06-12T08:20:00.000Z,2781,235.403920402,238.4732158033,222.0713416072,231.0514431929,1014433333.9,36010376072.58,2023-06-12T23:59:59.999Z
2023-06-11T00:00:00.000Z,2023-06-11T23:59:59.999Z,2023-06-11T00:29:00.000Z,2023-06-11T23:32:00.000Z,2781,239.087424894,239.3482696379,234.4306985018,235.4387967399,376213807.86,36694210385.53,2023-06-11T23:59:59.999Z
2023-06-10T00:00:00.000Z,2023-06-10T23:59:59.999Z,2023-06-10T00:04:00.000Z,2023-06-10T06:40:00.000Z,2781,260.6986566377,260.7161071038,233.1691842132,239.0890806456,1068424942.37,37263159612.28,2023-06-10T23:59:59.999Z
2023-06-09T00:00:00.000Z,2023-06-09T23:59:59.999Z,2023-06-09T13:23:00.000Z,2023-06-09T07:34:00.000Z,2781,262.1507984844,263.9214138246,256.5094071962,260.7160988268,491429997.63,40633881849.37,2023-06-09T23:59:59.999Z
2023-06-08T00:00:00.000Z,2023-06-08T23:59:59.999Z,2023-06-08T12:55:00.000Z,2023-06-08T03:35:00.000Z,2781,259.4008988734,266.8072249391,257.7645284327,262.1485065253,562863851.98,40857170518.39,2023-06-08T23:59:59.999Z
2023-06-07T00:00:00.000Z,2023-06-07T23:59:59.999Z,2023-06-07T00:00:00.000Z,2023-06-07T15:03:00.000Z,2781,281.4814430963,281.4814430963,256.095700312,259.3914451691,958739195.46,40427510244.25,2023-06-07T23:59:59.999Z
2023-06-06T00:00:00.000Z,2023-06-06T23:59:59.999Z,2023-06-06T19:55:00.000Z,2023-06-06T13:37:00.000Z,2781,276.9336318322,285.5967141693,273.7239296877,281.495565141,691784529.02,43872601590.66,2023-06-06T23:59:59.999Z
